   ID	                                  Lexeme	                Type	       Position
--------------------------------------------------------------------------------------------------
    -	                                     int	             Keyword	         (1, 1)
    0	                                    main	          Identifier	         (1, 5)
    -	                                       (	         Punctuation	         (1, 9)
    -	                                       )	         Punctuation	        (1, 10)
    -	                                       {	         Punctuation	         (2, 1)
    -	                                     int	             Keyword	         (5, 5)
    1	                                       a	          Identifier	         (5, 9)
    -	                                       =	          Assignment	        (5, 11)
    -	                                       0	             Literal	        (5, 13)
    -	                                       ,	         Punctuation	        (5, 14)
    2	                                       b	          Identifier	        (5, 16)
    -	                                       =	          Assignment	        (5, 18)
    -	                                       5	             Literal	        (5, 20)
    -	                                       ;	         Punctuation	        (5, 21)
    -	                                    char	             Keyword	         (7, 5)
    3	                                       c	          Identifier	        (7, 10)
    -	                                       =	          Assignment	        (7, 12)
    -	                                     'a'	             Literal	        (7, 14)
    -	                                       ;	         Punctuation	        (7, 17)
    -	                                    char	             Keyword	         (8, 5)
    4	                                     str	          Identifier	        (8, 10)
    -	                                       =	          Assignment	        (8, 14)
    -	                                 "hello"	             Literal	        (8, 16)
    -	                                       ;	         Punctuation	        (8, 23)
    -	                                   float	             Keyword	        (10, 5)
    5	                                       f	          Identifier	       (10, 11)
    -	                                       =	          Assignment	       (10, 13)
    -	                                 22.5E-3	             Literal	       (10, 15)
    -	                                       ;	         Punctuation	       (10, 22)
    -	                                     int	             Keyword	        (11, 5)
    6	                                     hex	          Identifier	        (11, 9)
    -	                                       =	          Assignment	       (11, 13)
    -	                                  0xffee	             Literal	       (11, 15)
    -	                                       ;	         Punctuation	       (11, 21)
    -	                                     for	             Keyword	        (13, 5)
    -	                                       (	         Punctuation	        (13, 8)
    -	                                     int	             Keyword	        (13, 9)
    7	                                       i	          Identifier	       (13, 13)
    -	                                       =	          Assignment	       (13, 14)
    -	                                       0	             Literal	       (13, 15)
    -	                                       ;	         Punctuation	       (13, 16)
    7	                                       i	          Identifier	       (13, 18)
    -	                                       <	          Relational	       (13, 20)
    -	                                     100	             Literal	       (13, 22)
    -	                                       ;	         Punctuation	       (13, 25)
    7	                                       i	          Identifier	       (13, 27)
    -	                                       +	          Arithmetic	       (13, 28)
    -	                                       +	          Arithmetic	       (13, 29)
    -	                                       )	         Punctuation	       (13, 30)
    -	                                  return	             Keyword	        (14, 9)
    7	                                       i	          Identifier	       (14, 16)
    -	                                       ;	         Punctuation	       (14, 17)
    -	                                  return	             Keyword	        (16, 5)
    -	                                       0	             Literal	       (16, 12)
    -	                                       ;	         Punctuation	       (16, 13)
    -	                                       }	         Punctuation	        (17, 1)
